trend,t-15,t-14,t-13,t-12,t-11,t-10,t-9,t-8,t-7,t-6,t-5,t-4,t-3,t-2,t-1,t
Joel Berry,20,19,100,45,26,17,29,8,23,12,6,47,11,17,0,19
Jamie Anderson,1,1,2,5,5,100,33,8,4,2,2,5,25,4,4,38
Beau Jordan,0,100,52,57,57,0,0,0,51,0,0,0,50,50,49,50
Frank Howard,73,30,100,51,59,52,98,52,45,54,94,76,52,59,58,59
Jared Harper,20,20,21,92,23,20,0,0,31,0,0,23,0,20,0,100
Theo Pinson,0,10,100,15,15,10,60,7,14,0,8,38,7,7,7,60
Montenegro,43,47,47,52,42,44,43,41,42,47,51,45,48,54,50,100
Hal Hughes,0,0,0,0,0,49,0,0,0,100,0,0,0,0,47,48
Barry Brown,47,55,41,63,72,40,88,56,81,16,100,63,55,23,62,71
Wendell Carter,39,32,50,37,82,97,57,40,33,50,37,100,32,55,47,72
Independiente,16,11,12,13,12,11,13,26,46,11,17,14,10,11,27,100
Rick Barnes,100,15,25,6,28,10,40,19,20,10,6,11,10,10,5,19
Hilary Knight,1,2,4,11,20,5,12,6,15,7,7,5,18,5,9,100
Robb Stauber,0,3,3,11,18,3,19,3,18,3,0,0,6,3,5,100
Kawhi,15,29,19,20,34,16,22,17,12,12,9,8,14,14,17,100
USA-Canada,0,0,0,0,0,0,50,0,0,0,0,0,0,50,49,100
Nate Mason,25,0,0,57,28,25,0,38,25,26,0,0,25,62,0,100
Haley Irwin,0,0,13,14,42,13,13,13,51,13,0,0,0,0,0,100
Getzlaf,37,19,15,54,16,19,24,19,10,35,33,38,62,33,0,100
Puckle Gun,0,0,10,9,11,13,11,11,21,37,57,41,22,20,8,100
Marie-Philip Poulin,11,0,12,7,6,17,29,17,35,9,10,7,17,28,31,100
Fleury,100,44,38,32,26,29,33,38,41,35,35,35,40,38,39,36
Corey Perry,83,36,50,55,55,73,0,36,25,100,55,41,48,36,59,72
Mike White,70,59,65,100,74,97,98,87,73,61,43,46,68,80,70,59
Alex Tuch,28,0,30,33,0,14,0,29,29,30,17,32,0,14,0,100
Ryan Miller,79,33,55,70,50,39,51,64,68,61,51,47,42,74,35,100
Grant Williams,64,50,36,34,34,50,40,100,56,36,29,51,30,39,29,75
Jake Tapper,53,33,25,16,45,46,23,38,34,27,10,44,35,31,39,100
Todd Starnes,4,13,18,0,10,9,0,0,18,50,30,10,4,21,0,100
Maddie Rooney,1,2,1,1,4,1,1,2,5,1,2,<1,1,1,1,100
Montenegro,43,47,47,52,42,44,43,41,42,47,51,45,48,54,50,100
Jeremy Roenick,4,4,4,5,9,100,8,6,11,11,17,16,19,20,8,68
Hilary Knight,1,2,4,11,20,5,12,6,15,7,7,5,18,5,9,100
David Wise,1,<1,1,2,2,1,1,1,1,1,1,2,2,19,4,100
Shiffrin,2,4,7,23,21,18,15,26,100,90,25,19,23,13,16,33
Kenny Albert,0,13,14,15,15,13,0,27,48,35,54,0,20,20,39,100
Lamoreaux,4,13,11,7,17,4,15,11,18,14,5,10,24,17,4,100
Decker,53,54,55,100,73,60,54,51,54,53,61,61,58,57,53,57
Agosta,9,8,8,12,27,16,31,10,36,11,16,10,18,9,10,100
Kendall Coyne,2,4,2,5,100,12,11,2,77,3,2,0,21,5,3,73
Pierre McGuire,23,14,10,44,54,10,19,10,78,40,33,22,10,33,42,100
Gigi Marvin,2,2,2,4,5,2,16,4,12,4,9,0,57,11,3,100
Ryan Miller,79,33,55,70,50,39,51,64,68,61,51,47,42,74,35,100
The Cat,88,86,88,90,96,92,95,90,87,92,95,94,88,95,96,100
Black Dress,82,82,81,96,93,79,81,73,67,80,93,100,90,80,86,89
How To Get Away With Murder,39,40,100,80,77,51,43,36,42,86,65,62,43,41,37,37
Poulin,11,13,14,15,20,14,14,11,26,16,18,26,20,19,34,100
Mark Cuban,12,12,10,8,9,18,13,11,11,9,13,12,13,13,86,100
US Embassy in Montenegro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100
How to Get Away With Murder,39,40,100,80,77,51,43,36,42,86,65,62,43,41,37,37
Dana Loesch,<1,1,1,1,<1,1,1,1,1,1,1,1,1,1,5,100
Billy Graham,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,100,57
Robb Stauber,0,3,3,11,18,3,19,3,18,3,0,0,6,3,5,100
Black Dress,82,82,81,96,93,79,81,73,67,80,93,100,90,80,86,89
We're LIVE ON-AIR,82,82,81,96,93,79,81,73,67,80,93,100,90,80,86,89
Senator Marco Rubio,4,13,5,0,5,0,5,4,41,28,0,5,9,13,15,100
FLOOD WATCH,22,8,23,39,51,20,6,6,20,32,10,22,31,64,100,37
SHS,32,35,33,27,23,35,37,36,36,31,28,22,31,33,42,100
Amanda Kessel,2,2,3,2,28,10,10,5,22,3,4,2,15,3,3,100
Win A Copy,0,33,34,37,0,49,0,0,100,34,38,37,0,32,32,0
Congratulations to the USA,0,33,34,37,0,49,0,0,100,34,38,37,0,32,32,0
Falcon 9,100,38,27,20,20,15,12,12,17,12,13,12,11,7,21,45
BLACK DRESS,82,82,81,96,93,79,81,73,67,80,93,100,90,80,86,89
Silver Spring,90,91,75,85,85,94,92,77,85,94,93,95,85,100,87,85
Gun Stance,16,32,17,18,18,32,16,32,98,100,55,55,80,47,32,88
Asbury Park,49,50,54,73,50,53,49,48,55,53,64,61,46,43,62,100
Southwest Airlines,89,84,83,73,79,88,95,85,94,93,77,81,88,100,92,99
Mike Francesa,21,18,47,15,27,21,48,80,100,85,33,42,29,10,42,37
END IT,75,70,78,62,69,78,74,72,82,79,73,71,86,87,92,100
Are You F,51,63,54,39,59,98,76,46,100,83,60,79,57,63,90,58
Amnesty International,46,40,38,14,27,39,51,37,40,37,28,32,35,44,53,100
Rep. Claudia Tenney,0,0,0,0,0,0,0,11,0,0,0,0,0,0,21,100
Selsky RF,0,0,0,0,0,0,0,11,0,0,0,0,0,0,21,100
Fairfax High School,11,8,6,5,12,6,10,11,11,10,8,5,5,10,19,100
Christopher Whitaker,37,25,0,29,0,26,64,51,39,0,30,0,25,0,100,38
The 18,79,75,69,73,78,72,81,77,78,83,79,100,86,80,78,74
Montenegro,43,47,47,52,42,44,43,41,42,47,51,45,48,54,50,100
Thornton Rd,83,52,54,54,42,42,48,26,70,44,30,54,37,57,31,100
Vieques,83,56,100,64,60,72,72,37,44,39,50,74,53,71,49,78
Marco Rubio and N.R.A. Jeered,83,56,100,64,60,72,72,37,44,39,50,74,53,71,49,78
Meghan Markle and Prince Harry,61,52,61,71,30,96,100,85,50,85,68,49,46,45,39,76
Delafield,42,71,52,57,69,64,40,57,54,77,74,53,64,81,38,100
Parquet Courts,12,17,13,14,9,17,21,25,25,26,43,33,33,8,8,100
