trend,t-15,t-14,t-13,t-12,t-11,t-10,t-9,t-8,t-7,t-6,t-5,t-4,t-3,t-2,t-1,t
Tornado Watch,9,7,3,3,3,6,5,6,3,5,7,12,7,5,69,100
Lehtonen,48,43,38,45,47,39,37,41,61,33,24,39,100,62,25,35
Steven Adams,9,13,17,11,77,15,9,7,6,7,24,12,11,14,11,100
Dick Vitale,76,19,8,12,27,100,14,36,8,10,48,13,15,17,51,42
GM Jon Robinson,76,19,8,12,27,100,14,36,8,10,48,13,15,17,51,42
Hampshire,86,93,95,97,90,90,97,94,93,98,95,97,100,96,89,89
Missouri 32,0,0,100,50,99,50,0,0,0,74,49,0,97,51,0,0
Carter Page,57,43,29,25,25,18,22,40,17,20,22,25,14,5,51,100
Kassius Robertson,98,0,58,0,58,0,0,100,0,0,0,0,28,30,0,0
Scott Foster,54,72,32,53,59,38,72,67,66,84,57,26,32,44,30,100
Palmieri,54,65,69,53,45,64,98,100,58,53,52,57,55,56,56,65
Hamptons 5,0,57,0,100,0,0,0,0,0,0,0,49,0,0,0,56
Judge Jeanine,9,66,13,5,7,5,17,40,91,12,3,8,3,5,32,100
Kentucky 88,0,0,100,0,0,0,0,0,0,0,98,0,99,0,0,0
Rupp,62,62,70,63,63,100,71,60,54,59,70,81,63,82,75,81
Big 12,72,76,44,52,54,46,43,68,100,47,56,51,81,48,85,90
Cuadras,16,25,20,19,28,24,23,27,21,20,20,24,26,25,28,100
Jerami Grant,8,8,35,14,100,21,7,16,16,7,0,0,7,7,8,39
Clarksville,50,44,48,43,44,45,46,53,48,50,43,46,49,51,58,100
Viloria,9,4,3,2,13,5,8,4,7,8,8,16,10,10,11,100
Durant,42,51,40,46,39,66,62,63,58,100,54,43,41,55,52,82
5 AST,0,0,0,97,96,0,100,0,0,95,0,94,0,99,54,0
Klay,49,90,38,49,34,43,60,57,100,98,45,39,34,53,49,65
Brad Calipari,0,100,22,15,0,0,15,17,0,0,15,0,0,0,0,65
Duane Washington,0,33,29,29,29,0,30,34,100,29,0,0,0,30,0,65
Virtue and Moir,4,22,33,12,8,7,5,5,5,35,100,35,16,12,10,22
JaVale McGee,28,91,45,53,17,34,27,19,43,26,24,35,15,68,26,100
Quinn Cook,23,20,15,17,21,12,6,13,7,12,17,31,23,24,10,100
Gallo,65,68,68,68,65,60,73,80,67,64,64,60,67,71,77,100
Trey Burke,4,5,9,7,3,6,4,3,8,0,12,5,5,59,21,100
Slava Voynov,3,3,0,4,4,3,4,10,13,7,20,3,0,9,0,100
Jamal Crawford,56,19,23,14,20,15,100,29,14,31,12,21,17,47,35,53
KeVaughn Allen,19,0,17,0,0,0,0,0,0,0,0,0,33,0,0,100
Mark Jackson,100,69,51,72,68,82,42,66,58,53,67,60,67,38,65,97
Nick Collison,12,12,21,11,21,11,0,6,18,5,16,8,0,19,18,100
The Warriors,72,76,57,67,49,72,55,59,60,53,55,55,49,69,69,100
Kevin Knox,13,32,15,6,14,35,18,40,11,13,17,28,9,91,81,100
Nikita Gusev,0,0,3,1,3,0,0,7,0,0,0,0,1,12,0,100
Randle,56,100,60,38,32,42,70,51,30,46,38,70,27,32,79,80
Tobias Rieder,7,3,0,3,0,0,6,7,3,0,0,9,100,18,3,31
Datsyuk,3,5,2,7,17,4,12,37,8,7,6,9,7,20,11,100
Dylan Smith,100,46,41,34,34,28,56,16,23,61,27,27,60,56,54,45
Blake Bortles,7,5,5,5,5,5,5,5,5,8,4,16,10,7,13,100
Xolos,25,6,4,6,5,10,6,13,40,7,4,8,18,7,16,100
Sridevi,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,<1,14,100
Jarred Vanderbilt,20,51,18,0,0,18,19,31,51,0,18,35,18,0,31,100
Bud Luckey,6,6,0,0,5,6,6,0,0,0,5,5,0,0,6,100
Jeremy Stephens,1,2,<1,4,2,1,2,2,2,6,3,6,6,6,11,100
Deandre Ayton,3,6,2,2,3,4,13,7,5,1,7,7,4,6,100,44
Nick Young,23,28,26,33,21,22,22,20,19,19,16,16,22,24,16,100
Rawle Alkins,40,80,0,35,0,54,73,40,0,35,35,0,35,36,100,39
Matt Cronin,0,100,88,0,0,0,0,0,0,0,0,0,0,0,0,0
Westbrook,37,46,52,57,46,39,36,35,48,73,38,32,36,52,39,100
Clarksville,50,44,48,43,44,45,46,53,48,50,43,46,49,51,58,100
Draymond,19,25,19,28,26,35,18,14,15,100,59,29,20,20,17,46
Melo,49,43,43,43,55,55,62,77,96,90,81,100,93,69,60,66
Sierra Canyon,34,39,22,17,13,31,27,60,20,34,25,21,21,35,39,100
Golden State,37,72,29,58,30,69,29,22,20,23,20,20,26,59,33,100
Ovechkin,52,99,48,49,61,35,87,93,45,39,42,45,24,45,41,100
Pavel Datsyuk,1,11,1,15,16,4,13,48,7,3,2,12,9,30,11,100
Kenny Albert,38,0,17,0,34,43,18,38,19,17,41,58,100,43,38,84
Germans,64,67,96,76,79,100,89,70,69,77,78,89,87,98,73,95
Kovalchuk,4,3,4,7,15,5,21,93,28,8,6,12,7,41,14,100
Thunder,68,69,68,64,82,64,60,64,62,55,55,57,56,72,72,100
Kirill Kaprizov,0,0,4,0,15,4,19,4,4,5,5,7,11,13,4,100
Elijah Brown,11,17,25,15,10,10,0,12,23,20,10,15,20,31,11,100
Damian Lillard,95,38,37,20,21,100,35,37,38,97,43,30,16,22,27,57
De'Aaron Fox,55,41,61,24,37,74,76,42,28,48,36,48,0,100,27,67
Freddy Adu,100,93,89,70,64,13,13,79,43,50,62,31,19,19,14,91
Xolos,25,6,4,6,5,10,6,13,40,7,4,8,18,7,16,100
Marco Sturm,1,0,0,1,1,1,3,1,3,0,3,18,5,96,55,100
Bud Luckey,6,6,0,0,5,6,6,0,0,0,5,5,0,0,6,100
I Was a Marine,0,0,0,0,30,0,0,0,34,0,59,29,30,0,0,100
Swaggy P,9,20,14,11,16,11,10,13,18,17,16,5,11,11,9,100
Jimmy Butler,12,4,3,3,3,1,5,2,2,28,6,3,2,2,100,32
No. 14 Arizona,12,4,3,3,3,1,5,2,2,28,6,3,2,2,100,32
Schiff,90,79,66,60,57,59,58,65,100,64,57,53,52,48,66,94
President Xi Jinping,37,37,16,65,16,33,26,19,19,0,0,48,49,17,37,100
Vero,26,26,25,24,26,26,25,26,27,26,25,30,36,34,45,100
Warriors,50,77,45,72,48,73,41,43,37,35,32,33,34,63,49,100
Sonny Liston,58,31,30,24,46,37,34,55,38,36,33,35,21,37,27,100
Swaggy P,9,20,14,11,16,11,10,13,18,17,16,5,11,11,9,100
China's Communist Party,0,0,0,87,0,0,0,0,100,87,0,0,0,0,0,0
COMING UP ON,78,55,78,86,76,100,90,64,96,63,80,78,77,94,72,76
Steven Adams,9,13,17,11,77,15,9,7,6,7,24,12,11,14,11,100
NCAA,65,77,63,50,46,45,54,77,77,56,71,63,60,72,100,96
CPAC,1,1,2,3,2,2,2,2,1,3,8,11,62,100,72,44
Germany,63,72,74,74,71,77,68,62,66,69,71,75,74,100,72,97
Annihilation,5,6,5,5,7,7,7,8,6,8,11,18,34,67,100,81
Feinstein,15,14,15,14,15,20,25,15,18,24,24,27,19,21,15,100
Draymond,19,25,19,28,26,35,18,14,15,100,59,29,20,20,17,46
Melo,49,43,43,43,55,55,62,77,96,90,81,100,93,69,60,66
Remove NRA,49,43,43,43,55,55,62,77,96,90,81,100,93,69,60,66
President Xi Jinping,37,37,16,65,16,33,26,19,19,0,0,48,49,17,37,100
Zaza,11,11,9,11,8,11,8,12,10,9,7,8,10,12,9,100
Aurier,15,15,12,100,42,13,8,6,9,10,17,12,9,9,7,66
Nick Young,23,28,26,33,21,22,22,20,19,19,16,16,22,24,16,100
Blake Bortles,7,5,5,5,5,5,5,5,5,8,4,16,10,7,13,100
Wind Advisory,38,19,17,17,17,17,17,58,38,100,50,16,17,17,0,19
Should Trump Worry,38,19,17,17,17,17,17,58,38,100,50,16,17,17,0,19
Sean Miller,1,<1,<1,1,1,<1,1,<1,<1,<1,<1,<1,<1,1,100,49
Huawei,98,93,90,89,86,90,88,97,93,87,86,83,86,88,95,100
Cassius Clay,100,43,46,80,17,68,52,48,57,83,58,45,33,43,67,65
Old Trafford,23,21,19,19,28,20,19,21,22,20,24,27,22,29,38,100
Juan Lagares,0,56,50,75,100,50,77,0,56,0,49,0,49,51,56,82
Morata,51,44,90,47,30,27,32,37,22,27,100,33,23,26,24,81
Palace,95,86,76,72,73,70,78,88,86,76,71,68,70,78,88,100
California Democrats,0,0,88,0,0,0,30,0,33,58,29,29,87,30,100,65
Jebel Hafeet,65,46,41,17,25,33,51,56,47,73,16,32,82,51,37,100
Championship Sunday,17,51,0,0,0,0,0,17,0,0,15,15,30,15,34,100
Hamersville,11,0,10,19,24,0,10,0,11,9,9,9,9,29,0,100
Communist Party,37,51,65,71,68,75,54,46,56,65,69,62,66,62,32,100
Lukaku,20,24,16,10,9,13,9,46,32,20,13,52,18,11,16,100
Sonny Liston,58,31,30,24,46,37,34,55,38,36,33,35,21,37,27,100
Conte,58,57,65,57,53,62,59,54,59,52,100,68,60,58,54,94
Smalling,15,100,57,34,17,9,20,30,23,19,15,36,24,13,23,30
Man United,25,62,21,20,20,18,20,52,22,19,23,57,29,19,25,100
Feinstein,15,14,15,14,15,20,25,15,18,24,24,27,19,21,15,100
Willian,15,11,10,12,13,11,22,22,17,15,100,59,24,23,24,43
Harry Kane,70,34,27,100,50,21,17,22,29,13,12,17,18,12,16,38
Matt Belisle,29,0,0,0,0,0,0,0,29,0,0,25,51,0,58,100
Comer\xedo,29,0,0,0,0,0,0,0,29,0,0,25,51,0,58,100
Dele Alli,100,45,28,64,31,20,14,17,28,17,10,10,8,10,9,23
McTominay,3,9,3,2,1,1,3,19,15,8,5,89,41,17,6,100
Matic,81,75,70,67,70,70,76,75,78,74,76,87,69,74,79,100
Giroud,42,28,100,75,39,40,87,99,45,42,82,41,31,21,22,61
Martial,92,98,92,82,86,90,87,93,89,97,95,96,87,89,95,100
Pedro Alvarez,19,9,25,41,74,42,9,0,19,41,32,40,40,34,9,100
Ashley Young,31,92,42,46,30,49,31,50,52,27,58,99,29,56,36,100
Trump Is Winning - POLITICO,0,25,0,23,46,46,47,0,0,0,0,0,0,0,0,100
Beleskey,0,1,2,0,0,1,2,0,0,1,1,0,0,0,3,100
I Was a Marine,0,0,36,0,0,0,0,0,0,0,36,71,0,37,41,100
Morata,50,42,100,46,27,25,28,30,24,23,94,38,24,23,25,85
Kante,41,37,25,31,24,23,33,32,35,34,100,52,37,36,41,69
George Harrison,17,23,13,16,18,15,18,17,21,14,13,15,15,22,31,100
KOOKIE KOOKIE,73,100,43,73,79,37,51,90,65,61,45,42,39,66,69,77
Amazing Leadership,0,39,0,34,0,35,0,0,0,34,0,33,0,0,0,38
CNN Poll,82,0,36,18,36,28,38,21,0,63,18,27,72,56,62,100
Fernandinho,82,90,69,70,67,60,74,71,75,73,61,57,61,83,83,100
Nokia,61,61,56,59,57,61,59,62,61,58,57,57,57,60,64,83
Xi Jinping,6,6,8,9,10,8,9,5,8,6,6,5,7,6,6,87
Lukaku,20,24,19,11,11,14,14,50,30,23,16,56,21,12,14,100
Mark Letestu,0,0,3,7,4,0,0,0,7,0,5,7,4,4,100,66
Xhaka,69,31,22,100,44,26,19,36,23,13,22,13,24,26,15,69
David Silva,19,18,39,20,13,15,13,6,35,15,13,12,12,14,100,25
Kevin Kramer,0,30,30,15,31,16,17,0,30,29,15,0,0,0,100,30
Kevin Fiala,16,43,19,10,24,10,0,11,27,0,9,9,9,25,16,100
Colton Sissons,50,100,44,0,44,0,0,0,0,0,43,43,0,45,0,73
Lingard,12,17,14,9,9,7,8,11,11,9,15,15,10,8,12,100
Kyle Tucker,51,39,26,26,26,13,15,22,51,12,19,32,46,36,63,100
Danny Espinosa,26,0,15,38,15,23,17,0,15,22,37,0,39,43,100,52
Claudio Bravo,23,15,9,17,14,18,11,24,16,30,23,12,11,17,14,100
United,60,87,66,66,64,60,59,84,54,56,64,95,71,60,61,100
Ethan Happ,100,0,9,9,19,82,21,10,9,32,9,9,24,16,98,14
Wilshere,100,42,17,17,15,21,14,12,11,15,13,12,30,45,25,84
Kelsey Mitchell,51,68,0,0,92,0,51,51,45,88,44,45,47,51,100,0
Aguero,74,60,31,35,27,21,31,21,21,47,100,27,14,13,19,55
Austin Watson,46,49,65,40,58,67,46,100,56,32,31,24,41,36,89,79
Scott Hartnell,100,13,0,13,13,13,22,21,13,37,25,13,58,29,42,19
Kompany,9,6,8,22,9,7,5,5,5,6,8,6,6,7,4,100
Max Scherzer,39,55,62,41,49,42,47,46,48,33,100,41,56,46,91,60
Mustafi,100,20,19,15,12,27,18,21,16,15,14,11,14,8,19,95
Yoenis Cespedes,48,34,51,26,35,18,58,48,17,50,41,42,70,58,56,100
Samsung,82,72,71,70,71,72,80,78,73,70,70,71,74,82,100,98
Chivas,94,21,20,25,54,19,25,80,21,21,21,30,64,29,100,34
Pep Guardiola,38,34,33,33,25,24,20,25,100,79,29,18,50,46,97,54
Stan Van Gundy,11,13,7,6,3,5,4,5,3,0,3,5,7,7,27,100
Aubameyang,100,35,28,28,26,50,33,32,26,19,21,15,32,30,29,57
Alfredo Reyes,36,33,0,65,0,100,0,36,32,32,32,64,33,0,36,64
Alan\xeds,36,33,0,65,0,100,0,36,32,32,32,64,33,0,36,64
RHP Ben Taylor,36,33,0,65,0,100,0,36,32,32,32,64,33,0,36,64
Steve Leonard,100,59,29,59,45,61,34,0,87,58,100,87,45,66,48,43
William Byron,32,10,8,12,10,25,18,100,29,7,5,5,6,8,19,11
Sam Burns,5,1,7,1,3,2,2,2,1,4,1,4,3,13,100,26
Matt Wieters,0,30,0,30,46,31,0,0,30,59,0,30,31,34,100,44
Papua New Guinea,34,30,30,21,25,25,19,22,29,21,28,20,22,29,69,100
Justus Sheffield,26,23,0,34,35,0,26,25,0,22,33,23,35,26,100,100
FDLE,67,40,55,63,52,81,36,44,98,58,50,82,69,49,39,100
Man City,20,13,32,18,10,11,14,13,40,32,12,9,11,18,100,21
Maikel Franco,34,30,30,30,0,31,34,34,0,0,44,30,77,34,100,30
Letestu,0,2,5,4,4,0,5,0,3,0,4,6,9,6,100,51
Rick Nash,2,4,1,3,3,2,2,1,1,1,2,2,2,11,7,100
Nick Ward,47,17,33,16,25,17,56,19,16,48,32,65,34,19,100,32
Bridges,83,80,79,69,75,77,69,83,79,75,86,75,100,83,75,87
Pumas,18,14,15,19,77,13,20,51,13,11,13,25,12,15,100,24
Jabari Parker,100,32,58,87,22,40,19,29,13,20,10,22,24,43,44,39
Tony Snell,97,43,57,100,0,74,33,32,0,42,56,85,44,80,79,56
Tulane 2,0,66,0,0,45,68,100,0,0,43,0,43,45,0,49,43
Brandon Bollig,0,0,0,0,0,0,0,0,0,0,18,0,0,0,92,100
Clermont County,57,80,65,83,83,77,51,35,65,90,79,83,59,72,96,100
Miles Bridges,31,9,8,9,5,3,13,5,2,5,14,6,100,86,55,29
Nate Mason,0,14,0,0,0,0,0,0,0,28,0,100,30,32,32,14
Clayton Kershaw,74,28,100,96,35,75,31,73,51,67,73,85,60,62,64,60
Cassius Winston,16,15,0,15,0,15,34,33,15,14,14,29,15,49,32,100
Blues,100,69,68,70,64,74,86,78,66,69,71,68,84,85,83,73
Glad I Got Booed,100,69,68,70,64,74,86,78,66,69,71,68,84,85,83,73
Bear Trap,26,33,23,28,44,39,20,36,44,22,41,47,72,81,100,50
Corey Sanders,84,100,50,50,25,26,28,56,37,24,24,49,26,28,55,36
Happ,73,74,94,100,67,97,60,46,63,54,67,60,74,60,85,76
Gattuso,22,21,14,18,24,19,27,54,62,41,24,27,36,29,100,95
Stan Van Gundy,11,13,7,6,3,5,4,5,3,0,3,5,7,7,27,100
Tom Smallwood,9,0,0,0,0,0,0,0,0,0,0,0,0,0,100,37
Wenger,39,29,35,31,31,28,28,24,26,23,23,35,32,29,100,80
Ryan Shazier,32,26,13,18,24,31,22,17,21,20,100,40,20,14,37,33
Bledsoe,73,76,83,80,88,87,62,56,61,50,70,43,74,96,100,82
Isaac Copeland,0,0,0,51,0,53,0,58,0,50,50,51,53,0,0,100
Arsenal,20,16,16,15,39,20,17,17,15,15,15,40,30,25,100,26
Alex Noren,3,3,3,4,3,2,8,2,3,2,4,9,15,33,100,11
Tristan Thompson,96,70,40,80,43,42,80,80,100,41,31,33,44,48,54,44
East Carolina,79,71,94,64,87,69,70,90,97,85,94,100,85,84,86,88
Bryn Forbes,100,14,27,34,14,0,16,15,14,0,20,0,42,31,75,20
LaMarcus Aldridge,27,18,30,28,9,16,32,10,100,13,10,8,7,10,38,22
Gregg Popovich,68,9,100,72,34,18,20,12,15,12,10,36,12,13,54,68
Larry Nance,38,21,7,31,8,5,8,100,15,4,5,9,31,10,8,4
Brad Keselowski,20,17,5,6,7,15,25,100,18,5,5,5,6,6,52,21
Carsen Edwards,7,3,0,3,3,8,0,3,26,17,0,3,100,19,15,3
Danny Green,42,27,14,25,21,14,20,15,16,9,11,24,13,20,100,35
Penn State 17,0,0,0,0,100,0,0,0,0,97,96,0,0,0,0,0
Hubie Brown,95,39,20,45,72,13,0,15,0,13,19,19,0,0,100,13
Ersan Ilyasova,14,16,11,18,8,3,7,4,3,3,6,9,34,38,97,100
James Palmer Jr.,0,0,0,0,60,0,0,100,0,0,0,0,0,0,65,0
Korver,100,50,45,70,19,23,24,33,23,21,18,17,44,30,42,22
Rondo,55,45,35,29,100,42,32,34,33,32,27,32,41,38,38,37
Middleton,64,53,55,50,48,54,58,79,100,72,61,57,52,53,56,51
Trevor Bayne,4,8,3,9,6,10,9,100,22,9,5,6,8,4,9,15
Mirotic,100,33,49,30,43,30,27,23,9,17,17,13,44,27,39,19
Kevin Ollie,100,89,89,45,0,91,76,0,44,44,0,0,46,50,73,65
Tiger,84,73,73,72,80,82,96,80,71,68,74,80,85,94,100,80
Pels,64,71,71,67,58,66,50,38,77,69,59,100,79,87,81,59
Emile Francis,0,0,13,0,13,13,0,15,0,13,13,0,0,15,100,44
Brad Davison,17,3,0,0,3,3,3,0,4,21,4,3,5,3,100,44
Dianne Feinstein,6,8,6,6,10,11,10,6,9,5,12,10,12,11,6,90
Patty Mills,52,15,8,14,6,7,2,6,4,11,3,4,3,11,32,100
Jania,15,10,8,5,8,6,6,9,7,9,11,5,7,4,47,100
Logan Morrison,14,9,10,6,6,7,5,17,17,12,4,7,9,5,100,70
Antipin,51,0,0,0,0,0,0,0,0,44,0,0,0,0,100,89
Jason Terry,26,15,13,25,9,14,7,5,9,12,12,10,7,100,41,20
Bucks,83,68,74,77,77,87,68,73,68,66,68,82,81,98,100,77
Chinese and Filipinos,0,100,50,0,0,52,0,0,0,0,0,0,0,0,0,0
Dejounte Murray,17,32,21,23,4,9,7,14,25,48,18,19,11,12,100,56
Kyle Anderson,100,14,38,26,24,10,27,20,26,20,12,22,8,23,62,43
Neymar,21,18,22,47,35,24,25,21,16,16,14,14,15,17,44,100
Dom Uhl,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,89
Leicester,46,40,34,37,36,63,47,34,36,33,33,35,36,65,100,89
Evan Rodrigues,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,100
Al Freeman,50,100,89,44,45,68,50,62,77,86,54,22,23,37,73,43
Rod Gilbert,35,21,21,31,42,85,46,57,0,60,0,20,32,69,90,100
Dakota Mathias,0,23,0,23,23,23,0,0,0,0,0,0,47,0,100,0
Big Ten Tournament,6,4,3,3,3,4,4,9,10,9,13,9,15,20,45,100
NBA Youngboy,18,15,13,14,13,13,12,10,12,12,12,12,13,11,100,99
Nance,40,23,10,32,12,8,12,100,19,7,8,10,34,12,11,6
The Pelicans,42,38,70,51,85,92,32,47,32,46,23,37,24,100,77,73
Stan Van Gundy,11,13,7,6,3,5,4,5,3,0,3,5,7,7,27,100
Devin Harris,100,55,34,79,19,54,28,65,6,15,15,9,16,17,20,12
Joakim Ryan,100,25,13,13,0,0,0,0,0,0,0,0,0,14,21,12
Jean Ratelle,3,3,4,11,4,4,0,7,3,5,5,5,10,12,64,100
Marco Scandella,41,0,0,36,0,0,41,41,36,0,0,0,93,0,100,89
Jeff Green,100,73,38,70,32,16,21,26,21,15,24,15,39,36,49,38
Tony Carr,14,24,12,24,25,100,14,27,72,12,0,36,25,14,13,12
Monica Lewinsky,9,18,7,7,8,8,7,12,17,7,7,6,6,5,7,100
Jrue Holiday,34,21,43,8,48,13,5,24,13,17,8,8,26,24,84,100
Sam Hunt,85,80,71,73,70,84,61,83,70,85,84,69,76,85,100,94
Jimmy Howard,31,41,48,20,42,63,23,46,88,100,86,54,77,31,23,87
Scottie Lindsey,0,0,89,0,0,0,0,100,0,0,0,0,91,0,0,0
Justin Thomas,3,4,4,4,7,7,9,6,5,4,4,7,11,18,84,100
Andre the Giant,51,34,31,37,32,40,61,73,50,53,33,34,38,71,60,100
Harden,54,56,54,54,56,66,63,63,100,55,50,47,56,82,55,78
Kelly Oubre,39,25,16,29,19,18,23,16,16,18,14,10,89,37,30,100
Jordan Bohannon,0,0,2,0,2,0,5,2,0,2,2,2,2,0,0,100
Ross,92,88,84,81,81,80,88,90,86,81,84,80,82,100,100,96
James Harden,43,47,44,53,51,46,51,53,100,48,39,39,50,74,46,72
Florida Gun Show,42,19,9,19,57,62,90,99,74,68,41,60,100,84,61,64
Dan Fegan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,100
Stephanie,62,62,64,100,83,70,62,58,58,61,71,63,62,53,54,70
Marlo,42,52,39,43,38,43,39,61,58,40,51,43,51,51,39,100
Lamont Smith,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,100
Remember the Titans,100,50,53,61,56,65,60,50,49,53,54,61,72,52,47,69
Dianne Feinstein,8,6,7,5,7,10,7,7,9,14,9,9,10,11,93,100
Mickie James,19,12,67,14,14,14,18,17,15,36,24,15,13,19,21,100
Elias,83,77,81,75,73,73,73,82,80,84,79,77,84,95,100,93
Carl,32,35,34,32,33,32,33,35,40,41,36,35,34,33,41,100
Liu He,17,15,29,15,45,38,50,33,29,14,21,43,60,58,32,100
Monica Lewinsky,9,18,7,7,8,8,7,12,17,7,7,6,6,5,7,100
Chris Street,6,9,9,7,8,6,8,5,8,9,8,9,9,5,7,100
Alexa Bliss,31,21,43,29,23,19,24,26,23,41,31,23,21,26,30,100
Mizz Twerksum,0,100,100,20,0,82,91,89,59,20,77,0,20,67,44,58
Roman,84,84,84,82,81,75,79,88,87,92,91,92,86,86,93,100
George Harrison,23,16,15,15,14,18,17,18,15,13,15,18,21,29,100,59
The Chi,66,100,65,50,44,43,48,55,98,64,47,46,46,51,54,98
NBA Youngboy,18,15,13,14,13,13,12,10,12,12,12,12,13,11,100,99
Annihilation,5,5,6,6,7,7,8,8,9,10,19,35,66,100,82,45
Comer\xedo,5,5,6,6,7,7,8,8,9,10,19,35,66,100,82,45
I-95 SB,5,5,6,6,7,7,8,8,9,10,19,35,66,100,82,45
Web of Conservative Donors,5,5,6,6,7,7,8,8,9,10,19,35,66,100,82,45
Justin Thomas,3,4,4,4,7,7,9,6,5,4,4,7,11,18,84,100
The Weinstein Company,33,60,27,22,8,17,31,12,0,13,13,16,8,12,18,100
Safaree,<1,<1,<1,<1,<1,<1,<1,<1,<1,1,1,<1,<1,<1,<1,100
Morrison,97,96,96,98,90,93,86,97,97,91,88,91,88,90,100,98
Weinstein Co.,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,100
Cayey,61,100,70,84,69,75,75,94,74,46,64,90,76,79,52,93
Camp Lejeune,62,75,94,75,77,66,57,57,68,100,88,86,81,72,61,82
Vero,15,14,14,15,15,14,15,17,15,14,18,20,19,26,57,100
Rick Nash,3,2,3,3,1,2,1,1,1,2,2,3,11,6,100,35
We're ON-AIR,3,2,3,3,1,2,1,1,1,2,2,3,11,6,100,35
House of Gaslight,0,0,0,0,0,85,46,46,0,40,0,0,0,0,0,100
West Side,95,89,86,92,86,97,91,85,83,75,78,82,100,93,92,81
Billy Graham Library,3,4,0,2,0,2,10,5,7,5,80,100,41,69,61,68
The Rolling Stones,44,37,41,31,30,34,32,41,28,26,37,39,38,39,43,100
Pres Trump,55,16,41,57,57,100,92,36,96,55,55,40,66,36,53,63
Daybreak,82,88,91,87,80,100,87,80,66,85,75,75,90,82,94,81
Chris Street,6,9,9,7,8,6,8,5,8,9,8,9,9,5,7,100
OTAs,53,56,56,40,40,41,27,44,71,39,100,55,73,44,35,77
I-10 West,0,25,25,100,25,0,29,56,0,49,73,25,77,0,0,24
Fulton Industrial Blvd,58,68,51,68,35,0,39,0,68,66,0,34,52,38,56,100
Berkshire,58,67,76,70,83,64,59,60,63,66,64,70,76,100,95,99
Georgetown Pike,0,33,33,50,100,34,0,93,33,32,0,33,34,37,73,48
New Richmond,85,92,80,79,94,100,95,87,90,75,82,80,95,79,82,69
Now It Needs to Vote,85,92,80,79,94,100,95,87,90,75,82,80,95,79,82,69
H\xe9ctor Pesquera,85,92,80,79,94,100,95,87,90,75,82,80,95,79,82,69
Good Monday,33,91,16,6,8,6,6,36,95,12,9,10,10,8,33,100
Cape Elizabeth,71,90,69,66,67,53,58,57,60,61,58,77,49,44,26,100
FilmStruck,46,41,26,36,29,29,55,60,38,32,37,25,31,58,48,100
Don Blankenship,0,44,100,77,45,23,25,25,33,32,54,22,34,50,24,76
Terry McAuliffe,35,31,21,21,42,21,23,0,41,0,0,61,0,35,45,100
America Is the Gun,0,0,6,0,55,100,14,34,30,24,29,30,31,34,13,18
Monica Lewinsky,9,18,7,7,8,8,7,12,17,7,7,6,6,5,7,100
Victor Hugo,84,94,89,88,100,85,61,81,90,86,82,76,74,71,73,99
Tyler Eifert,62,37,18,36,74,0,31,20,54,18,71,18,56,41,100,62
GDPR,20,85,92,86,90,75,20,20,83,100,88,96,79,19,23,99
Florida Gun Show,42,19,9,19,57,62,90,99,74,68,41,60,100,84,61,64
The Supreme Court,41,93,85,83,80,71,36,37,56,88,93,94,84,27,43,100
World Trade Center,70,60,60,62,74,76,81,81,76,60,64,68,64,69,75,100
Weinstein Company,17,42,15,8,11,5,9,7,10,7,10,6,6,7,5,100
DeMar DeRozan,24,20,14,30,31,16,64,64,100,24,19,16,12,17,14,55
Dave Dombrowski,0,0,100,0,0,0,0,0,49,0,48,0,51,0,0,0
PEIA,18,53,43,37,38,49,15,63,47,78,52,100,74,60,56,88
Monday Night Football,13,30,38,19,31,31,30,21,23,34,15,8,23,13,58,100
I-10 West,0,25,25,100,25,0,29,56,0,49,73,25,77,0,0,24
Short Court Style,0,0,34,0,0,0,0,0,0,0,0,34,0,0,0,100
Poloniex,63,60,55,72,76,55,71,61,56,69,53,53,60,51,45,100
Supreme Court,42,74,73,65,77,78,45,39,64,97,100,85,73,44,41,97
Tom Kuhnhackl,0,0,49,0,0,50,0,55,73,0,0,0,100,55,80,48
CBS Sports HQ,0,0,0,0,0,0,0,0,0,0,0,27,0,15,0,100
Sherra Wright,11,15,24,10,10,25,39,22,24,14,9,19,20,16,22,100
Davis Cup,100,23,18,18,24,19,15,14,19,15,9,17,13,23,14,23
Dan McHale,0,30,0,0,0,0,0,0,58,28,0,0,0,0,0,100
AP Top 25,20,100,15,8,6,9,8,11,51,23,4,9,7,4,14,51
Circle,85,93,98,92,91,89,81,82,85,93,94,99,94,84,85,100
Matt Murray,49,27,18,27,23,33,28,59,32,15,15,11,19,31,42,90
DACA,64,73,89,100,95,89,63,53,56,61,59,58,54,47,50,87
Mike Fisher,65,60,56,68,85,73,59,100,49,56,45,65,33,38,77,72
Rick Barnes,100,24,65,71,61,49,40,60,24,23,29,59,61,73,52,40
Title VII,41,66,96,63,74,61,19,26,56,61,74,69,47,37,43,64
